Brand,Model,Year,Category,Rating,Displacement (ccm),Power (hp),Torque (Nm),Engine cylinder,Engine stroke
aprilia,125 classic,1999,Custom / cruiser,4,124.8,15,-2,Single cylinder,two-stroke
aprilia,250 tuareg,1985,Unspecified category,0,246,47,-2,Single cylinder,two-stroke
aprilia,250 tuareg,1986,Allround,3,246,47,-2,Single cylinder,two-stroke
aprilia,af 1 125 replica,1987,Sport,3.4,125,25,-2,Single cylinder,two-stroke
aprilia,af1,1996,Sport,3.7,80,16,-2,Single cylinder,two-stroke
aprilia,af1 125 futura,1991,Sport,3.5,125,27,-2,Single cylinder,two-stroke
aprilia,af1 125 replica,1988,Sport touring,3.6,125,25,-2,Single cylinder,two-stroke
aprilia,af1 125 sintesi replica,1989,Sport,3.3,125,27,-2,Single cylinder,two-stroke
aprilia,af1 125 sintesi sport,1990,Sport,3.2,125,27,-2,Single cylinder,two-stroke
aprilia,af1 125 sport pro,1992,Sport,3.6,125,25,-2,Single cylinder,two-stroke
aprilia,atlantic 125,2005,Scooter,3.6,124,14.8,12,Single cylinder,four-stroke
aprilia,atlantic 125,2006,Scooter,3.3,124,-3,12,Single cylinder,four-stroke
aprilia,atlantic 125,2007,Scooter,3.3,124,15,12,Single cylinder,four-stroke
aprilia,atlantic 125,2008,Scooter,3.5,124,20.1,12,Single cylinder,four-stroke
aprilia,atlantic 125 i.e.,2009,Scooter,2.9,124,-3,-2,Single cylinder,four-stroke
aprilia,atlantic 250,2005,Scooter,3.7,250,22.8,20.2,Single cylinder,four-stroke
aprilia,atlantic 250,2006,Scooter,3.7,244,20.1,20.2,Single cylinder,four-stroke
aprilia,atlantic 250,2007,Scooter,2.9,244,21.2,20.2,Single cylinder,four-stroke
aprilia,atlantic 250,2008,Scooter,3.2,244,28.4,20.2,Single cylinder,four-stroke
aprilia,atlantic 250 i.e.,2009,Scooter,3.3,249,21,-2,Single cylinder,four-stroke
aprilia,atlantic 300,2010,Scooter,3.4,278.3,22,23.8,Single cylinder,four-stroke
aprilia,atlantic 300,2011,Scooter,3,278.3,22,23.8,Single cylinder,four-stroke
aprilia,atlantic 300,2012,Scooter,3.1,278.3,22.4,23.8,Single cylinder,four-stroke
aprilia,atlantic 300,2013,Scooter,3.4,278.3,22.4,23.8,Single cylinder,four-stroke
aprilia,atlantic 400 sprint,2007,Scooter,2.9,399,34,37,Single cylinder,four-stroke
aprilia,atlantic 400 sprint,2008,Scooter,3.1,390,33.5,37,Single cylinder,four-stroke
aprilia,atlantic 400 sprint,2009,Scooter,0,399,33.5,-2,Single cylinder,four-stroke
aprilia,atlantic 500,2004,Scooter,3.4,459,39,40,Single cylinder,four-stroke
aprilia,atlantic 500,2005,Scooter,3.7,460,29,40,Single cylinder,four-stroke
aprilia,atlantic 500 sprint,2006,Scooter,3.2,460,36.9,42,Single cylinder,four-stroke
aprilia,atlantic 500 sprint,2007,Scooter,3.4,460,36.9,42,Single cylinder,four-stroke
aprilia,atlantic 500 sprint,2008,Scooter,3.2,460,36.9,42,Single cylinder,four-stroke
aprilia,atlantic 500 sprint,2009,Scooter,3.5,460,38.9,43,Single cylinder,four-stroke
aprilia,blue marlin 1000,2002,Prototype / concept model,3.2,997.6,-3,-2,V2,four-stroke
aprilia,caponord 1200,2013,Sport touring,3.3,1197,128,116,V2,four-stroke
aprilia,caponord 1200,2015,Sport touring,3.4,1197,125,114,V2,four-stroke
aprilia,caponord 1200,2016,Sport touring,3.4,1197,125,114,V2,four-stroke
aprilia,caponord 1200,2017,Sport touring,3.6,1197,125,114,V2,four-stroke
aprilia,caponord 1200,2018,Sport touring,3.4,1197,125,114,V2,four-stroke
aprilia,caponord 1200 abs,2014,Sport touring,3.5,1197,125,114,V2,four-stroke
aprilia,caponord 1200 rally,2015,Sport touring,3.6,1197,125,114,V2,four-stroke
aprilia,caponord 1200 rally,2016,Sport touring,3.5,1197,125,114,V2,four-stroke
aprilia,caponord 1200 rally,2017,Sport touring,0,1197,125,114,V2,four-stroke
aprilia,caponord 1200 rally,2018,Sport touring,0,1197,125,114,V2,four-stroke
aprilia,caponord 1200 travel pack,2015,Sport touring,3.5,1197,125,114,V2,four-stroke
aprilia,caponord 1200 travel pack,2016,Sport touring,0,1197,125,114,V2,four-stroke
aprilia,caponord 1200 travel pack,2017,Sport touring,3.4,1197,125,114,V2,four-stroke
aprilia,caponord 1200 travel pack,2018,Sport touring,0,1197,125,114,V2,four-stroke
aprilia,caponord etv 1000,2004,Enduro / offroad,3.8,997.6,98,97,Twin,four-stroke
aprilia,caponord rally,2003,Enduro / offroad,3.2,997.6,98,97.1,V2,four-stroke
aprilia,caponord rally raid,2004,Enduro / offroad,3.8,997.6,98,95,Twin,four-stroke
aprilia,caponord rally raid,2005,Allround,3.8,997,98,95,V2,four-stroke
aprilia,caponord rally raid,2006,Sport touring,3.9,998,92,95,Twin,four-stroke
aprilia,classic 125,1997,Custom / cruiser,3.3,125,15,-2,Single cylinder,two-stroke
aprilia,classic 125,1998,Custom / cruiser,2.7,125,11,11,Single cylinder,two-stroke
aprilia,classic 125,2001,Custom / cruiser,2.9,125,-3,-2,Single cylinder,two-stroke
aprilia,classic 125,2002,Custom / cruiser,3.2,124.8,-3,-2,Single cylinder,two-stroke
aprilia,classic 50,2002,Custom / cruiser,3.6,49.7,-3,-2,Single cylinder,two-stroke
aprilia,climber,1989,Trial,3.2,276,-3,-2,Single cylinder,two-stroke
aprilia,dorsoduro 1200,2011,Super motard,3.5,1197,128,115,V2,four-stroke
aprilia,dorsoduro 1200,2012,Super motard,3.7,1197,128,115,V2,four-stroke
aprilia,dorsoduro 1200,2015,Sport touring,3.7,1197,130,115,V2,four-stroke
aprilia,dorsoduro 1200 abs,2011,Super motard,3.5,1197,128,115,V2,four-stroke
aprilia,dorsoduro 1200 abs,2012,Super motard,3.4,1197,130,115,V2,four-stroke
aprilia,dorsoduro 1200 abs,2013,Super motard,2.8,1197,130,115,V2,four-stroke
aprilia,dorsoduro 1200 atc abs,2014,Sport touring,0,1197,125,114,V2,four-stroke
aprilia,dorsoduro 750,2008,Sport,3.8,749.9,90.3,82,Twin,four-stroke
aprilia,dorsoduro 750,2009,Super motard,3.7,749.9,92,82,V2,four-stroke
aprilia,dorsoduro 750,2010,Super motard,3.5,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750,2011,Super motard,3.8,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750,2012,Super motard,2.8,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750,2013,Super motard,2.8,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2009,Super motard,3.3,749.9,92,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2010,Super motard,0,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2011,Super motard,3.1,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2012,Super motard,3.3,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2013,Super motard,3.3,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2014,Super motard,3.4,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2015,Super motard,3.7,749.9,92,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2016,Super motard,3.3,749.9,92,82,V2,four-stroke
aprilia,dorsoduro 750 abs,2017,Super motard,3.4,749.9,92,82,V2,four-stroke
aprilia,dorsoduro 750 factory,2010,Super motard,3.3,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 factory,2011,Super motard,3.1,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 factory,2012,Super motard,3.4,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 factory,2013,Super motard,0,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 factory abs,2012,Super motard,3.2,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 750 factory abs,2013,Super motard,0,749.9,90.3,82,V2,four-stroke
aprilia,dorsoduro 900,2017,Super motard,3.2,900,95.2,90,V2,four-stroke
aprilia,dorsoduro 900,2018,Super motard,3.5,900,95.2,90,V2,four-stroke
aprilia,dorsoduro 900,2019,Super motard,3.1,896,95.2,90,V2,four-stroke
aprilia,dorsoduro 900,2020,Super motard,0,896.1,95.2,90,V2,four-stroke
aprilia,dorsoduro 900,2021,Super motard,0,896.1,95.2,90,V2,four-stroke
aprilia,dorsoduro 900,2022,Super motard,0,896.1,95.2,90,V2,four-stroke
aprilia,etv 1000 caponord,2001,Enduro / offroad,3.7,998,98,97,V2,four-stroke
aprilia,etv 1000 caponord,2002,Enduro / offroad,3.7,997.6,98,97,V2,four-stroke
aprilia,etv 1000 caponord,2003,Enduro / offroad,3.9,997.6,98,97.1,V2,four-stroke
aprilia,etv 1000 caponord,2005,Touring,3.9,997,98,97,V2,four-stroke
aprilia,etv 1000 caponord,2006,Touring,3.7,998,98,97,V2,four-stroke
aprilia,etv 1000 caponord,2007,Touring,3.7,998,98,90,V2,four-stroke
aprilia,etv 1000 caponord,2008,Allround,3.7,998,98,90,V2,four-stroke
aprilia,etx 125,1987,Enduro / offroad,2.8,124,17,-2,Single cylinder,two-stroke
aprilia,etx 125,1999,Enduro / offroad,3.5,125,12.2,-2,Single cylinder,two-stroke
aprilia,etx 125,2000,Enduro / offroad,3.7,125,-3,-2,,
aprilia,etx 125,2001,Enduro / offroad,3.3,125,-3,-2,,
aprilia,etx 150,2016,Allround,2.9,149,-3,-2,Single cylinder,four-stroke
aprilia,etx 150,2020,Allround,0,149,-3,-2,Single cylinder,four-stroke
aprilia,etx 350,1985,Enduro / offroad,2.6,349,27,-2,Single cylinder,four-stroke
aprilia,etx 350 ae,1987,Enduro / offroad,3,349,33,-2,Single cylinder,four-stroke
aprilia,etx 350 e,1986,Enduro / offroad,2.9,349,27,-2,Single cylinder,four-stroke
aprilia,etx 350 tuareg,1986,Touring,3.7,349,27,-2,Single cylinder,four-stroke
aprilia,etx 6.35,1988,Enduro / offroad,3.2,349,33,-2,Single cylinder,four-stroke
aprilia,etx 6.35,1989,Enduro / offroad,3.3,349,27,-2,Single cylinder,four-stroke
aprilia,etx 600,1985,Unspecified category,0,562,49,-2,Single cylinder,four-stroke
aprilia,etx 600,1986,Unspecified category,0,562,49,-2,Single cylinder,four-stroke
aprilia,etx 600 tuareg,1986,Unspecified category,0,562,49,-2,Single cylinder,four-stroke
aprilia,f1 sport pro replica,1991,Sport,3.4,125,-3,-2,Single cylinder,two-stroke
aprilia,falco 1000 sl,2003,Sport touring,3.6,997.6,118,95.7,V2,four-stroke
aprilia,leonardo,1999,Scooter,3.6,250,-3,-2,Single cylinder,four-stroke
aprilia,leonardo 125,1997,Scooter,3.1,125,12,10,Single cylinder,four-stroke
aprilia,leonardo 125,1998,Scooter,3.4,125,12,12,Single cylinder,four-stroke
aprilia,leonardo 125,2005,Scooter,3.7,124.9,-3,-2,Single cylinder,four-stroke
aprilia,leonardo 125,2006,Scooter,3.1,124.9,-3,-2,Single cylinder,four-stroke
aprilia,leonardo 300,2005,Scooter,3.6,264.5,-3,-2,Single cylinder,four-stroke
aprilia,leonardo 300,2006,Scooter,2.6,264.5,-3,-2,Single cylinder,four-stroke
aprilia,mana 850,2008,Sport,4,893,75.1,73,V2,four-stroke
aprilia,mana 850,2009,Naked bike,3.6,839,75.1,73,V2,four-stroke
aprilia,mana 850,2010,Naked bike,3.4,839.3,75.1,73,V2,four-stroke
aprilia,mana 850,2011,Naked bike,3.2,839.3,75.1,73,V2,four-stroke
aprilia,mana 850,2012,Naked bike,3.3,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 abs,2009,Naked bike,3.8,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 abs,2011,Naked bike,3.5,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 abs,2012,Naked bike,3.3,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt,2009,Naked bike,3.5,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt,2016,Allround,3.2,839.3,76.1,73,V2,four-stroke
aprilia,mana 850 gt abs,2010,Naked bike,3.7,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt abs,2012,Allround,3.6,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt abs,2013,Allround,3.7,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt abs,2014,Allround,3.4,839.3,75.1,73,V2,four-stroke
aprilia,mana 850 gt abs,2015,Allround,3.3,839.3,75.1,73,V2,four-stroke
aprilia,mini rx 50 challenge,2005,"Minibike, cross",3.8,49.8,3,-2,Single cylinder,two-stroke
aprilia,mini rx 50 entry,2005,"Minibike, cross",3.7,49.8,2,-2,Single cylinder,two-stroke
aprilia,mini rx 50 entry - challenge - experience,2004,Enduro / offroad,3.9,49.7,9,-2,Single cylinder,two-stroke
aprilia,mini rx 50 experience,2005,"Minibike, cross",3.5,49.9,9,-2,Single cylinder,two-stroke
aprilia,mojito 125,2013,Scooter,0,124,-3,-2,Single cylinder,four-stroke
aprilia,mojito 125,2016,Scooter,0,124,9.8,9,Single cylinder,four-stroke
aprilia,mojito 125 custom,2008,Scooter,3.1,124,-3,-2,Single cylinder,two-stroke
aprilia,mojito 150,2006,Scooter,3.5,149.6,-3,-2,Single cylinder,four-stroke
aprilia,mojito 50,2006,Scooter,3.4,49.4,-3,-2,Single cylinder,two-stroke
aprilia,mojito 50 custom,2008,Scooter,3.4,49.4,-3,-2,Single cylinder,two-stroke
aprilia,moto 6.5,1996,Allround,3.6,649,50,-2,Single cylinder,four-stroke
aprilia,moto 6.5,1997,Allround,2.9,649,48,51,Single cylinder,four-stroke
aprilia,moto 6.5,1998,Allround,3,649,42,51,Single cylinder,four-stroke
aprilia,moto 6.5,1999,Unspecified category,3.2,649,42,51,Single cylinder,four-stroke
aprilia,moto 6.5,2000,Unspecified category,3,650,42,51,Single cylinder,four-stroke
aprilia,moto 6.5,2001,Enduro / offroad,3.6,650,42,51,Single cylinder,four-stroke
aprilia,moto 6.5,2002,Enduro / offroad,3.1,649,-3,-2,Single cylinder,four-stroke
aprilia,mx 125,2004,Enduro / offroad,4.1,124,15,-2,Single cylinder,two-stroke
aprilia,mx 125,2005,Enduro / offroad,3.8,124,-3,-2,Single cylinder,two-stroke
aprilia,mx 125,2006,Enduro / offroad,3.7,124,-3,-2,Single cylinder,two-stroke
aprilia,mx 50,2004,Enduro / offroad,3.9,49.7,-3,-2,Single cylinder,two-stroke
aprilia,mx 50,2005,Enduro / offroad,3.7,49.7,-3,-2,Single cylinder,two-stroke
aprilia,mx 50 supermoto,2003,Super motard,3.9,49.7,-3,-2,Single cylinder,two-stroke
aprilia,mxv 4.5,2009,Cross / motocross,3.6,449,-3,-2,V2,four-stroke
aprilia,mxv 4.5,2010,Cross / motocross,3,449,-3,-2,V2,four-stroke
aprilia,mxv 4.5,2011,Cross / motocross,3,449,-3,-2,V2,four-stroke
aprilia,mxv 4.5,2012,Cross / motocross,0,449,-3,-2,V2,four-stroke
aprilia,mxv 4.5,2013,Cross / motocross,0,449,-3,-2,V2,four-stroke
aprilia,na 850 mana,2007,Naked bike,3.8,839.3,73.9,76.5,Twin,four-stroke
aprilia,pegaso 125,1990,Enduro / offroad,3.4,125,23,-2,Single cylinder,two-stroke
aprilia,pegaso 125,1991,Allround,3.3,125,23,-2,Single cylinder,two-stroke
aprilia,pegaso 125,1992,Allround,3.5,125,23,-2,Single cylinder,two-stroke
aprilia,pegaso 600,1990,Super motard,2.6,562,45,-2,Single cylinder,four-stroke
aprilia,pegaso 600,1991,Trial,3.2,562,45,-2,Single cylinder,four-stroke
aprilia,pegaso 600 (reduced effect),1991,Unspecified category,0,562,27,-2,Single cylinder,four-stroke
aprilia,pegaso 650,1992,Enduro / offroad,3.3,652,48,-2,Single cylinder,four-stroke
aprilia,pegaso 650,1993,Allround,3.5,652,48,59,Single cylinder,four-stroke
aprilia,pegaso 650,1996,Enduro / offroad,3.5,652,50,-2,Single cylinder,four-stroke
aprilia,pegaso 650,1997,Enduro / offroad,2.9,652,50,54,Single cylinder,four-stroke
aprilia,pegaso 650,1998,Enduro / offroad,3.3,652,50,54,Single cylinder,four-stroke
aprilia,pegaso 650,1999,Enduro / offroad,3.5,652,49,54,Single cylinder,four-stroke
aprilia,pegaso 650,2000,Enduro / offroad,3.4,652,50,54,Single cylinder,four-stroke
aprilia,pegaso 650,2002,Enduro / offroad,3.3,651.8,-3,-2,Single cylinder,four-stroke
aprilia,pegaso 650,2007,Naked bike,3.6,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650,2008,Allround,3.6,660,40,-2,Single cylinder,four-stroke
aprilia,pegaso 650,2009,Enduro / offroad,3.4,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650,2010,Super motard,3.3,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650,2011,Super motard,3.5,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650,2012,Super motard,2.7,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 (reduced effect),1992,Enduro / offroad,3.2,652,27,-2,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2007,Super motard,3.4,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2008,Allround,3,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2009,Enduro / offroad,3.3,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2010,Super motard,3.3,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2011,Super motard,3.2,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2012,Super motard,3.1,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 factory,2013,Super motard,3.4,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 i.e.,2001,Enduro / offroad,3,652,49,54,Single cylinder,four-stroke
aprilia,pegaso 650 i.e.,2002,Enduro / offroad,3.4,651.8,49,54,Single cylinder,four-stroke
aprilia,pegaso 650 i.e.,2005,Enduro / offroad,3.3,651.8,47,58,Single cylinder,four-stroke
aprilia,pegaso 650 strada,2006,Naked bike,3.5,659,50,61,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2006,Trial,3.8,659,50,61.3,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2007,Trial,3.9,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2008,Trial,3.9,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2009,Enduro / offroad,3.6,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2010,Super motard,3.4,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2011,Super motard,3.3,660,48,59,Single cylinder,four-stroke
aprilia,pegaso 650 trail,2012,Super motard,3.4,660,48,59,Single cylinder,four-stroke
aprilia,pegaso i.e. 650,2003,Enduro / offroad,3.7,651.8,-3,-2,Single cylinder,four-stroke
aprilia,pegaso i.e. 650,2004,Enduro / offroad,3.9,651.8,47,58,Single cylinder,four-stroke
aprilia,pegaso i.e. tuscany tibet raid,2004,Enduro / offroad,3.7,651.8,47,58,Single cylinder,four-stroke
aprilia,pegaso tibet,2003,Enduro / offroad,2.9,651.8,47,58,Single cylinder,four-stroke
aprilia,pegaso tuscany tibet,2005,Enduro / offroad,3.7,651.8,35,58,Single cylinder,four-stroke
aprilia,rs 125,1997,Sport,3.7,125,15,15,Single cylinder,two-stroke
aprilia,rs 125,1998,Sport,3.7,125,15,15,Single cylinder,two-stroke
aprilia,rs 125,1999,Sport,3.6,125,15,15,Single cylinder,two-stroke
aprilia,rs 125,2000,Sport,3.6,125,15,-2,Single cylinder,two-stroke
aprilia,rs 125,2001,Sport,3.6,125,15,15,Single cylinder,two-stroke
aprilia,rs 125,2002,Sport,3.6,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2004,Sport,3,125,14.8,-2,Single cylinder,two-stroke
aprilia,rs 125,2006,Sport,3.7,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2007,Sport,3.7,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2008,Sport,3.7,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2009,Sport,3.4,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2010,Sport,3.4,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2011,Sport,3.3,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125,2013,Sport,3.4,124.8,28.2,-2,Single cylinder,two-stroke
aprilia,rs 125,2019,Sport,0,124.2,28.2,-2,Single cylinder,four-stroke
aprilia,rs 125,2020,Sport,0,124.2,28.2,-2,Single cylinder,four-stroke
aprilia,rs 125,2021,Sport,0,124.2,28.2,-2,Single cylinder,four-stroke
aprilia,rs 125,2022,Sport,0,124.2,14.8,11.2,Single cylinder,four-stroke
aprilia,rs 125 gp replica,2020,Sport,3,124.2,15,10.9,Single cylinder,four-stroke
aprilia,rs 125 gp replica,2021,Sport,3.3,124.2,15,10.9,Single cylinder,four-stroke
aprilia,rs 125 gp replica,2022,Sport,0,124.2,15,10.9,Single cylinder,four-stroke
aprilia,rs 125 r,2003,Sport,3.4,124.6,-3,-2,Single cylinder,two-stroke
aprilia,rs 125 replica,2004,Sport,3.6,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125 replica alitalia,2011,Sport,3.1,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125 replica gp,2018,Sport,2.7,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs 125 replica gp,2019,Sport,0,124.2,15,10.9,Single cylinder,four-stroke
aprilia,rs 125 replica sbk,2010,Sport,3.4,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 125 tuono,2003,Sport,2.7,124.8,-3,-2,Single cylinder,two-stroke
aprilia,rs 250,1996,Sport,3.4,249,70,-2,V2,two-stroke
aprilia,rs 250,1997,Sport,3.4,249,56,46,V2,two-stroke
aprilia,rs 250,1998,Sport,4,249,69,40,V2,two-stroke
aprilia,rs 250,1999,Sport,3.6,249,55,35,V2,two-stroke
aprilia,rs 250,2000,Sport,3.8,249,70,40,V2,two-stroke
aprilia,rs 250,2001,Sport,3.7,249,55,35,V2,two-stroke
aprilia,rs 250,2002,Sport,3.7,249,-3,-2,V2,two-stroke
aprilia,rs 50,1998,Sport,3.9,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2002,Sport,3.6,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2003,Sport,3.7,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2005,Sport,3.7,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2006,Sport,3.2,47.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2007,Sport,3.5,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2008,Sport,3.6,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2009,Sport,3.5,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2010,Sport,3.7,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2011,Sport,3.1,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2012,Sport,3.6,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2013,Sport,2,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2019,Sport,0,50,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2020,Sport,3.4,50,-3,-2,Single cylinder,two-stroke
aprilia,rs 50,2021,Sport,2.7,50,-3,-2,Single cylinder,two-stroke
aprilia,rs 50 replica,2004,Sport,3.5,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 50 replica alitalia,2011,Sport,3.3,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50 replica sbk,2010,Sport,2.9,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs 50 tuono,2003,Sport,3.7,49.7,-3,-2,Single cylinder,two-stroke
aprilia,rs 660,2020,Prototype / concept model,0,660,100,-2,Twin,four-stroke
aprilia,rs 660,2021,Sport,3.5,659,100,67,Twin,four-stroke
aprilia,rs 660,2022,Sport,0,659,100,67,Twin,four-stroke
aprilia,rs 660 35kw,2021,Sport,0,659,46.9,67,Twin,four-stroke
aprilia,rs 660 35kw,2022,Sport,0,659,46.9,67,Twin,four-stroke
aprilia,rs 660 limited,2022,Sport,0,659,100,67,Twin,four-stroke
aprilia,rs-gp,2021,Sport,0,999.6,255,115,V4,four-stroke
aprilia,rs4 125,2011,Sport,3.1,124.8,16,-2,Single cylinder,four-stroke
aprilia,rs4 125,2012,Sport,3.6,124.8,16,-2,Single cylinder,four-stroke
aprilia,rs4 125,2013,Sport,3.2,124.8,16,-2,Single cylinder,four-stroke
aprilia,rs4 125,2014,Sport,3.2,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125,2015,Sport,3.5,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125,2016,Sport,3.6,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125,2017,Sport,0,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125,2018,Sport,2.8,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125 replica,2013,Sport,0,124.8,16,-2,Single cylinder,four-stroke
aprilia,rs4 125 replica,2014,Sport,0,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125 replica,2015,Sport,2.9,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125 replica,2016,Sport,0,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125 replica,2017,Sport,0,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 125 replica,2018,Sport,0,124.8,15,10.9,Single cylinder,four-stroke
aprilia,rs4 50,2011,Sport,3.5,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50,2012,Sport,3.7,49.9,-3,-2,Single cylinder,four-stroke
aprilia,rs4 50,2013,Sport,3.4,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50,2015,Sport,3.4,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50,2016,Sport,3.5,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50,2017,Sport,0,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50,2018,Sport,2.3,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50 replica,2014,Sport,2.9,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50 replica,2015,Sport,0,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50 replica,2016,Sport,3.5,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50 replica,2017,Sport,0,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rs4 50 replica,2018,Sport,3.4,49.9,-3,-2,Single cylinder,two-stroke
aprilia,rst 1000 futura,2001,Sport touring,3.8,998,113,96,V2,four-stroke
aprilia,rst 1000 futura,2002,Sport touring,4.1,997.6,113,96,V2,four-stroke
aprilia,rst 1000 futura,2003,Sport touring,3.9,997.6,113,96.3,V2,four-stroke
aprilia,rst 1000 futura,2004,Sport,3.8,997.6,114,95.5,Twin,four-stroke
aprilia,rst 1000 futura,2005,Sport touring,3.8,997.6,114,96,V2,four-stroke
aprilia,rsv 1000 r,2005,Sport,3.7,997.6,138,107,V2,four-stroke
aprilia,rsv 1000 r,2006,Sport,3.8,997.6,138,107,V2,four-stroke
aprilia,rsv 1000 r,2008,Sport,3.8,997.6,141,107,V2,four-stroke
aprilia,rsv 1000 r,2009,Sport,3.8,983.3,141,101,V2,four-stroke
aprilia,rsv 1000 r factory,2005,Sport,3.6,997.6,138,107,V2,four-stroke
